P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
4536,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4537,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4538,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4539,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4540,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4541,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4542,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4543,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4544,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4545,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4546,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4547,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4548,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4549,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4550,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4551,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4552,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4553,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4554,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4555,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4556,climate,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4557,climate+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4558,government+policy,2018-04-27,‘Goldilocks’ Irish economy faces numerous threats - NTMA chief," State still borrowing money just to pay interest costs, event told
            "
4559,Interest rates,2018-04-27,‘Goldilocks’ Irish economy faces numerous threats - NTMA chief," State still borrowing money just to pay interest costs, event told
            "
4560,Economic growth,2018-04-29,Government should focus on growing Dublin and war-gaming next recession," EU economic growth has suddenly halted and Ireland needs to prepare for recession
            "
4561,Interest rates,2018-04-29,Government should focus on growing Dublin and war-gaming next recession," EU economic growth has suddenly halted and Ireland needs to prepare for recession
            "
4562,Inflation rates,2018-04-29,Government should focus on growing Dublin and war-gaming next recession," EU economic growth has suddenly halted and Ireland needs to prepare for recession
            "
